easting,northing,longitude,latitude,domain_no,domainname,domaintype
1889865.97915,5914651.38968,176.251760077,-36.869631101,4,Havre Trough - Taupo Rift,Extensional
1906701.6928,5944959.10133,176.428165616,-36.5915892985,4,Havre Trough - Taupo Rift,Extensional
1922365.05747,5970147.48507,176.592449509,-36.3597977896,4,Havre Trough - Taupo Rift,Extensional
1942206.23279,6000516.40198,176.799878007,-36.079760831,4,Havre Trough - Taupo Rift,Extensional
1724054.13738,5463316.93501,174.474402642,-40.9718879083,13,northwestern South Island,Contractional
1724054.11639,5463316.87461,174.474402404,-40.9718884554,13,northwestern South Island,Contractional
1723992.33223,5463139.15985,174.473703941,-40.973498217,13,northwestern South Island,Contractional
1698861.1079,5450724.04918,174.177065863,-41.0887433881,13,northwestern South Island,Contractional
1651257.27678,5433103.38167,173.611802254,-41.251856813,13,northwestern South Island,Contractional
1612963.18498,5413041.49334,173.155159734,-41.4340890964,13,northwestern South Island,Contractional
1599681.85651,5401478.28573,172.996185948,-41.5383489736,13,northwestern South Island,Contractional
1594701.9706,5393496.94117,172.936414313,-41.6102221169,13,northwestern South Island,Contractional
1593546.97138,5382257.63325,172.922430907,-41.711448232,13,northwestern South Island,Contractional
1593057.7128,5380657.65426,172.916531099,-41.7258552841,13,northwestern South Island,Contractional
1591539.13243,5375691.624,172.898202207,-41.7705698531,13,northwestern South Island,Contractional
1588643.15405,5373583.98818,172.863318725,-41.7895171489,13,northwestern South Island,Contractional
1588643.15059,5373583.98565,172.863318683,-41.7895171716,13,northwestern South Island,Contractional
1588100.46943,5374762.23806,172.85681107,-41.7788967206,13,northwestern South Island,Contractional
1582299.41343,5372090.37946,172.786926758,-41.8028537708,13,northwestern South Island,Contractional
1582260.56024,5372072.07832,172.786458513,-41.8030177392,13,northwestern South Island,Contractional
1582222.02718,5372053.11242,172.7859941,-41.8031877003,13,northwestern South Island,Contractional
1582183.82563,5372033.48736,172.785533655,-41.8033636039,13,northwestern South Island,Contractional
1582145.96685,5372013.20892,172.785077314,-41.8035453984,13,northwestern South Island,Contractional
1582108.46202,5371992.2831,172.784625211,-41.8037330299,13,northwestern South Island,Contractional
1582071.32222,5371970.71606,172.784177481,-41.8039264432,13,northwestern South Island,Contractional
1582034.5584,5371948.51418,172.783734254,-41.8041255813,13,northwestern South Island,Contractional
1581998.18141,5371925.68401,172.783295663,-41.8043303855,13,northwestern South Island,Contractional
1581962.20199,5371902.23228,172.782861836,-41.8045407953,13,northwestern South Island,Contractional
1581926.63077,5371878.16592,172.7824329,-41.8047567487,13,northwestern South Island,Contractional
1581891.47823,5371853.49202,172.782008984,-41.804978182,13,northwestern South Island,Contractional
1581856.75475,5371828.21788,172.781590211,-41.8052050299,13,northwestern South Island,Contractional
1577022.13074,5368238.1629,172.723252026,-41.8374147014,13,northwestern South Island,Contractional
1576914.6549,5368153.69964,172.721954297,-41.8381723204,13,northwestern South Island,Contractional
1576822.48616,5368073.20466,172.720841055,-41.8388946313,13,northwestern South Island,Contractional
1566247.60412,5358371.37867,172.592921443,-41.9258951836,13,northwestern South Island,Contractional
1550591.088,5344624.36248,172.402944974,-42.0488788775,13,northwestern South Island,Contractional
1550558.24615,5344595.0097,172.402545658,-42.0491411665,13,northwestern South Island,Contractional
1550525.92654,5344565.08286,172.402152601,-42.0494086569,13,northwestern South Island,Contractional
1550494.13921,5344534.59125,172.401765925,-42.0496812659,13,northwestern South Island,Contractional
1550462.89401,5344503.54434,172.401385749,-42.0499589089,13,northwestern South Island,Contractional
1550432.20067,5344471.95175,172.401012192,-42.0502414997,13,northwestern South Island,Contractional
1550402.06869,5344439.82331,172.40064537,-42.0505289507,13,northwestern South Island,Contractional
1550372.50744,5344407.16898,172.400285396,-42.0508211727,13,northwestern South Island,Contractional
1550343.52609,5344373.9989,172.399932383,-42.051118075,13,northwestern South Island,Contractional
1550315.13364,5344340.32337,172.39958644,-42.0514195657,13,northwestern South Island,Contractional
