Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
042A,-42.52331224,172.8304338,368,D,280,0.2,Q3,Commercial Client - Hamner,0.9,0.2,Q2,Mw,Unpub HVSR (Van Houtte),195,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
044A,-45.89839582,170.5092855,19,E,140,0.1,Q2,Barker 1996,0.7,0.1,Q1,I,Sangster 2020,50,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
046A,-41.27108366,173.2831453,3,D,335,0.2,Q3,Tracey & Wotherspoon (2021),0.7,0.2,Q2,Mw,Unpub HVSR (Kaiser),50,0.3,Q3,0,Kaiser et al. (2017),1625,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
048C,-41.51379094,173.9571528,4,D,235,0.2,Q3,McVerry (2011),3.2,0.2,Q2,I,Wotherspoon unpublished,95,0.597,Q2,0,Stolte et al. 2021 unpublished,1175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
048D,-41.51379094,173.9571528,4,D,235,0.2,Q3,McVerry (2011),3.2,0.2,Q2,I,Wotherspoon unpublished,95,0.597,Q2,0,Stolte et al. 2021 unpublished,1175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
050A,-41.12457961,173.0096425,4,D,300,0.2,Q3,McVerry (2011),2,0.2,Q2,I,Manea et al. 2021 unpublished,373,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),475,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
051B,-41.75549051,171.5989218,5,D,300,0.2,Q3,McVerry (2011),2.8,0.2,Q2,Mw,Unpub HVSR (Van Houtte),85,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
051D,-41.75549051,171.5989218,5,D,300,0.2,Q3,McVerry (2011),2.8,0.2,Q2,Mw,Unpub HVSR (Van Houtte),85,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
052A,-42.11659981,171.8604234,189,C,333,0.2,Q3,McVerry (2011),0.3,0.3,Q3,I,McVerry (2011),48,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
053A,-42.3786074,172.3329281,586,C,391,0.2,Q3,McVerry (2011),0.27,0.3,Q3,I,McVerry (2011),38,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
